Datetime,Tweet Id,Text,Username
2023-03-30 21:24:45+00:00,1641552063602597888,"#MaandamanoThursdays #Raila Kisumu. @NPSOfficial_KE 
 Alleged that journalist who was injured this was their vehicle. Ok. Swali ni. 
 Why did the media house edited plate number. From KDD 233P.  To KBB 233B. That means the police SUSPECTED THE VEHICLE.  The police is Right. https://t.co/FN2PCn3WxK",Gavanor01
2023-03-30 21:22:55+00:00,1641551605492326404,"Despite the international break, we still winning. 🎉

Dm for our Friday/weekend fixtures. 

(WhatsApp link below) 👇
https://t.co/69V7pTZzLD
#MaandamanoThursdays Karen #Nairobi https://t.co/NEUsPw0VZH",collins_games
2023-03-30 21:21:51+00:00,1641551334334668808,"Don't balame anyone, it's an accident, we stand with the @Pwaniuni during this time of sorrow and bereavement .R I.P  #PwaniUniversity #accident #naivasha

 #Nairobi #Quickmart57  Vera Ruto Raila #MaandamanoThursdays Edwin sifuna Thugs Imara Daima https://t.co/hdXUsDdVfo",Oscarmukabwa
2023-03-30 21:21:30+00:00,1641551247017754624,In this day and age you still think of Luos as uncircumcised? I bet if you place money to look for the uncircumcised among the luo you would return with your money. Those guys took the cut like crazy. #Circumcision #Luos #KDD233P #RailaOdinga #Pipeline #Maandamano #Siaya,MorioWaKanairo
2023-03-30 21:21:14+00:00,1641551181020274690,"All that crowd you witnessed cheering our President Rtd, HE Raila Amolo Odinga do not only love and adore him but also dislike his crooks that robbed him of his victory. 
#MaandamanoThursdays",MartinKarau
2023-03-30 21:17:02+00:00,1641550123401445377,"You only live once, but if you do it right, once is enough. #kenyandictionary #dailyquotes #quotes #kenyanquotes #MaandamanoThursdays https://t.co/fk3j4YNZdK",Ke_Dictionary
2023-03-30 21:14:08+00:00,1641549392120369153,"@HEBabuOwino si mlisema mnataka bomb, mbona mnalia na ni risasi tu? Foreskinopithecus ile uchawi raila aliwawekea sijui ni gani... mtakufa wengi sana juu ya huyo mganga! #MaandamanoThursdays  and #MaandamanoMondays mganga anawatoa kafara huko Enugu!",Cosmic_Boom
2023-03-30 21:13:21+00:00,1641549195944378368,"War don't determine winner or who is right, but who is left. #MSITUUWE! @WilliamsRuto @RailaOdinga

In War, fathers bury their sons but in peace, sons bury their fathers. Kisumu and Kibra are burying sons now - all killed by police!
#MaandamanoThursdays 🇰🇪
https://t.co/hp1FffJyZ9",Devolve_Mirror
2023-03-30 21:12:13+00:00,1641548912074067968,"Why police used pink-dyed water to spay Azimio protesters
https://t.co/jKRHasy1PN
#PoliceBrutality #Police #Demonstrations #Maandamano #MaandamanoThursdays #KDD233P #Raila #RutoMustGo",MumoOnesmas
2023-03-30 21:11:52+00:00,1641548823867666432,"Bigwigs 
@Dreymwangi 
@itsMJ_Ke  @bevalynekwambo3
@_CrazyNairobian 

Mkitafuta idea za Twitter Spaces...hizi hapa zitatusaidia kucope na effects za maandamano since wamesema haziishi anytime soon.
#MaandamanoThursdays 
#MaandamanoMondays 
#Maandamano",HuyuNiSMS
2023-03-30 21:11:05+00:00,1641548627113037824,"Ruto holds conversation with President Biden amid Azimio protests
https://t.co/o37PcDNQmb
#RutoMustGo #Ruto #USA #UnitedStates #BidenAdministration #Raila #Maandamano #MaandamanoThursdays #Demonstrations",MumoOnesmas
2023-03-30 21:10:25+00:00,1641548456689844225,"#MaandamanoThursdays Kisumu. 
 Raila why is this car plate number is masked KDD 233P or KBB 233B https://t.co/9aJ9nb5IRs",Gavanor01
2023-03-30 21:10:10+00:00,1641548395402653698,"Play and win with captainsbet 🔥
NBA are on heat!🥳🏀
Do your own analysis and win big🥳
Register 👇
🇰🇪 https://t.co/OjbP6im2t8
🇳🇬 https://t.co/MSQhf8qUjI

Thika Road Kisumu Bandits #MaandamanoThursdays Malema #Raila Pwani University Babu Owino Eldoret R.I.P https://t.co/sgTCzI7IKG",Tasha_ke746
