username,lemmatized_text,extract_hashtags
TeleMoir,  Innocent civilian throw back tear gas Police Outering road people believe video Courtesy,Raila MaandamanoThursdays
GideonKibicho1,  Bee Centre Kayole war zone Watu wamechomewa hadi magari Edwin Sifuna Imara Daima Gatundu Runda Jacaranda Citizen TV Ruto,MaandamanoThursday Raila RailaOdinga
bigmitchjatelo, ,MaandamanoThursdays
CasparApiyo,  sailing sugar cook oil mention Famine drought Interior CS give empty threat bandit beat innocent citizen hold peaceful possessionsshameshame shame,RutoMustGo Raila MaandamanoThursdays
Peterz_Model,  Fool time Fighting defend white Mfucker foreigner Kesho mtoto yake anataka bursary hapati sababu zimejenga bank account ya foreigner Fuo Sana Pwani University Photoshop Kisumu Outering Road,theoutside MaandamanoThursdays BLAZESpaces Raila
carlosabich1,  worry people help paint siaya kisumu yellow people set office fire ablaze,MaandamanoThursday MaandamanoMondays
Tasha_ke746,  Last one amp GN Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
magwaz3,  Assassins usually professional poor vehicle KDD 233P alter KBB 233B Ds amp P alter bring confusion action remain NTV amp Citizen Tv journalist hurt Pumwani University,Azimo RailaOdinga Maandamano
JereShariff,  Raila Odinga stop take protest residential area ordinary people live hand mouth live President Ruto live slum slum dweller lower cost live government Take protest,MaandamanoThursdays
Amollo10,  Tem Uru ka umulo baba unee kaka Kenya diny ka pier paka,MaandamanoThursdays
edwinotis123, ,MaandamanoThursdays
punctualhades,  mmmm,MaandamanoThursdays
Osunga,  KENYA | KorrupSchenn worth 20 brand new Mercedes Benz conduct per day Analysis :,MaandamanoMondays Kenya AP
mohadaniels01,  Place order us today Free delivery within Nairobi CBD Call 0112800325 KDD 233P Pwani University Vera Stamford Bridge Thugs Tassia MC Fullstop Edwin Sifuna Mwepu Kisumu,Quickmart57 MaandamanoThursdays Raila
NicholasOchanjo,  Uki guza mfuko ukiwa bash upate hauna simu,vera MaandamanoThursdays amberay
geeradioke,  Kisumu County administration assess loss goon raid destroy Jaramogi Oginga Odinga Teaching Referral Hospitals recently open multimilliondollar ultramodern funeral home,Kisumu MaandamanoThursdays RailaOdinga
Roy_koech7,  find eeheee KDD 233P,MaandamanoThursdays Raila Tonight KDD233P
charleen_ruto,  Lets settle Hustler Nation Like Kimani Ichungwa Retweet Babu Owino,MaandamanoThursdays
ManderaBlogger,  Supermarket owner tear business raid product steal protester Kisumu,MaandamanoThursdays
CosnameTv1,  WILLIAM RUTO SAYS heartfelt condolence family amp friend lose loved one Naivasha accident involve Pwani University bus,Nairobi JKLive cosname MaandamanoThursdays Raila Ruto
Reptile_ke,  video,MaandamanoThursdays
bill_mwendwa,  Economic Terrorists point,MaandamanoThursdays
AnkoSamwel,  Oya Io gari ni KDD 233P ama KBB 233B,MaandamanoThursdays
FlavioKim_,  Mkipewa security mnateta Mkikosa kupewa security mnateta Mkipewa chance ya maandamano mnateta Haswa nini mwataka jameni 🤷‍,MaandamanoThursdays
itsNjoguGichuru,  Tomorrow another day gachietha post us workaholic hes become,Kdd233p edwinsifuna PwaniUniversity Tassia Raila MaandamanoThursdays
vinnymongare,  ngoja ya monday next week prepare next post,MaandamanoMondays
ManderaBlogger,  Ruto megalomaniac psychopath tweet come haunt five year later Thats exactly William Ruto stop,MaandamanoThursdays
Farah_Naman,  Journalism Crime : 3 journalist attack wound demo via,MaandamanoThursdays Raila
Larrynganga1,  Journalism Crime : 3 journalist attack wound demo via,MaandamanoThursdays Raila
SwalaNyetiKe,  Journalism Crime : 3 journalist attack wound demo,MaandamanoThursdays Raila
Tasha_ke746,  Ni kama tumepewa pesa Bure na Patel 🥳 Two game 🥳 Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
Reptile_ke,  Looks like illegitimate regime learn powerful lesson : never underestimate strength people,MaandamanoThursdays
HarryGodfirst, ,Kenya MaandamanoThursdays
TheeHub_KE,  sad RIP Pwani University,MaandamanoThursdays DPGachaguaSpeaks
TeleMoir,  police one put Nairobi City County lock start violence lead loot difficult see,MaandamanoThursdays
Evanolangat1,  people looting spree name,MaandamanoThursdays
CosnameTv1,  WISE KNOW NEXT difference event today lead drop cost live farmer plant weed wait harvest sell high price,MaandamanoThursdays Raila JKLive cosname Nairobi
Tasha_ke746,  Baseball amp ice hockey Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
Maxxuull,  Nikubaya Saidia,maandamanothursdays
johnmark254,  Weeh baba weka hoi kitu kila siku,MaandamanoThursdays MaandamanoMondays Raila
KenyaForKenyans,  hand thingy instead preposterous Twitter,MaandamanoThursdays
TeleMoir,  Dismus Mokua say Raila say high cost living external variable get Damascus moment Raila simply tell Ruto Musalia Rigathi promise get office,MaandamanoThursdays
a_gallgallo,  terrorist hire KK govt finish Raila KDD 233P Tassia,MaandamanoThursdays
ochieng_philip,  Oya seven bullet attempt tantamount 7days week demonstration start next week,MaandamanoThursdays
Roy_koech7,  KDD 233P,MaandamanoThursdays Tonight Raila KDD photoshoot
Tasha_ke746,  Ice hockey Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
Argertta, ,MaandamanoThursdays
CosnameTv1,  UPDATES Updates Pwani University bus accident Naivasha Kindly note 48 student release ni wenye walikuwa kwa busthey take hospital kuangaliwa tuu wasikuwe traumatize,MaandamanoThursdays Nairobi Raila JKLive cosname
TheeHub_KE,  sad great life young promising lose live Pwani University RIP Citizen Tv,MaandamanoThursdays DPGachaguaSpeaks
Nyagairungu1,  President want rush amidst Peaceful environment first,MaandamanoThursdays
AslayIdris,  arest raila man get deep nerve,MaandamanoThursdays
Tasha_ke746,  Baseball Thika Road Kisumu Bandits Malema Pwani University Babu Owino Eldoret RIP,MaandamanoThursdays Raila
GideonKibicho1,  Kuna mtu ameambia truly love country take bullet nothing Ruto Citizen TV Imara Daima Edwin Sifuna Pwani University Gatundu MC Fullstop,Raila Maandamano RailaOdinga MaandamanoThursday
peterju59314052,  comment tweet say everything Kenyans refuse mchawi Raila shenanigan,MaandamanoThursdays
SlapNol,  Kayole Donholm,MaandamanoThursdays
martine_caleb, ,MaandamanoThursdays
kevoprezzo,  think medium give government Media blackout protest theyve brutalized journalist today Tassia outering,MaandamanoThursdays
MapesaOjiwa,  come mya attention Kalenjin tribal tribe KenyaEspecially Twitter anyone observe thing,MaandamanoThursdays
EveSpark,  Please stop protest Please stop protest cry disabled member society pregnant mom elderly people child run easily defend,RailaOdinga WilliamRuto
Reptile_ke,  Goonverment Sounds funny funny,MaandamanoThursdays
edwinotis123,  Democracy Dies Darkness CONDENM ACT POLICE Directed journalist,MaandamanoThursdays
